transaction_id,timestamp,method,provider,amount,currency,status,error,duration_ms,retries,merchant
tx_healthy_0,2026-07-14T14:08:35.324651,UPI,HDFC Bank,250.0,INR,FAILED,INSUFFICIENT_FUNDS,120,0,merchant_1
tx_healthy_1,2026-07-14T14:08:40.324651,UPI,ICICI Bank,250.0,INR,SUCCESS,NONE,135,0,merchant_1
tx_healthy_2,2026-07-14T14:08:45.324651,UPI,HDFC Bank,250.0,INR,SUCCESS,NONE,150,0,merchant_1
tx_healthy_3,2026-07-14T14:08:50.324651,UPI,ICICI Bank,250.0,INR,SUCCESS,NONE,165,0,merchant_1
tx_healthy_4,2026-07-14T14:08:55.324651,UPI,HDFC Bank,250.0,INR,SUCCESS,NONE,180,0,merchant_1
tx_healthy_5,2026-07-14T14:09:00.324651,UPI,ICICI Bank,250.0,INR,SUCCESS,NONE,195,0,merchant_1
tx_healthy_6,2026-07-14T14:09:05.324651,UPI,HDFC Bank,250.0,INR,SUCCESS,NONE,210,0,merchant_1
tx_healthy_7,2026-07-14T14:09:10.324651,UPI,ICICI Bank,250.0,INR,SUCCESS,NONE,225,0,merchant_1
tx_healthy_8,2026-07-14T14:09:15.324651,UPI,HDFC Bank,250.0,INR,SUCCESS,NONE,240,0,merchant_1
tx_healthy_9,2026-07-14T14:09:20.324651,UPI,ICICI Bank,250.0,INR,SUCCESS,NONE,255,0,merchant_1
tx_healthy_10,2026-07-14T14:09:25.324651,UPI,HDFC Bank,250.0,INR,SUCCESS,NONE,120,0,merchant_1
tx_healthy_11,2026-07-14T14:09:30.324651,UPI,ICICI Bank,250.0,INR,SUCCESS,NONE,135,0,merchant_1
tx_healthy_12,2026-07-14T14:09:35.324651,UPI,HDFC Bank,250.0,INR,SUCCESS,NONE,150,0,merchant_1
tx_healthy_13,2026-07-14T14:09:40.324651,UPI,ICICI Bank,250.0,INR,SUCCESS,NONE,165,0,merchant_1
tx_healthy_14,2026-07-14T14:09:45.324651,UPI,HDFC Bank,250.0,INR,SUCCESS,NONE,180,0,merchant_1
tx_healthy_15,2026-07-14T14:09:50.324651,UPI,ICICI Bank,250.0,INR,SUCCESS,NONE,195,0,merchant_1
tx_healthy_16,2026-07-14T14:09:55.324651,UPI,HDFC Bank,250.0,INR,SUCCESS,NONE,210,0,merchant_1
tx_healthy_17,2026-07-14T14:10:00.324651,UPI,ICICI Bank,250.0,INR,SUCCESS,NONE,225,0,merchant_1
tx_healthy_18,2026-07-14T14:10:05.324651,UPI,HDFC Bank,250.0,INR,SUCCESS,NONE,240,0,merchant_1
tx_healthy_19,2026-07-14T14:10:10.324651,UPI,ICICI Bank,250.0,INR,SUCCESS,NONE,255,0,merchant_1
tx_healthy_20,2026-07-14T14:10:15.324651,UPI,HDFC Bank,250.0,INR,FAILED,INSUFFICIENT_FUNDS,120,0,merchant_1
tx_healthy_21,2026-07-14T14:10:20.324651,UPI,ICICI Bank,250.0,INR,SUCCESS,NONE,135,0,merchant_1
tx_healthy_22,2026-07-14T14:10:25.324651,UPI,HDFC Bank,250.0,INR,SUCCESS,NONE,150,0,merchant_1
tx_healthy_23,2026-07-14T14:10:30.324651,UPI,ICICI Bank,250.0,INR,SUCCESS,NONE,165,0,merchant_1
tx_healthy_24,2026-07-14T14:10:35.324651,UPI,HDFC Bank,250.0,INR,SUCCESS,NONE,180,0,merchant_1
tx_healthy_25,2026-07-14T14:10:40.324651,UPI,ICICI Bank,250.0,INR,SUCCESS,NONE,195,0,merchant_1
tx_healthy_26,2026-07-14T14:10:45.324651,UPI,HDFC Bank,250.0,INR,SUCCESS,NONE,210,0,merchant_1
tx_healthy_27,2026-07-14T14:10:50.324651,UPI,ICICI Bank,250.0,INR,SUCCESS,NONE,225,0,merchant_1
tx_healthy_28,2026-07-14T14:10:55.324651,UPI,HDFC Bank,250.0,INR,SUCCESS,NONE,240,0,merchant_1
tx_healthy_29,2026-07-14T14:11:00.324651,UPI,ICICI Bank,250.0,INR,SUCCESS,NONE,255,0,merchant_1
tx_healthy_30,2026-07-14T14:11:05.324651,UPI,HDFC Bank,250.0,INR,SUCCESS,NONE,120,0,merchant_1
tx_healthy_31,2026-07-14T14:11:10.324651,UPI,ICICI Bank,250.0,INR,SUCCESS,NONE,135,0,merchant_1
tx_healthy_32,2026-07-14T14:11:15.324651,UPI,HDFC Bank,250.0,INR,SUCCESS,NONE,150,0,merchant_1
tx_healthy_33,2026-07-14T14:11:20.324651,UPI,ICICI Bank,250.0,INR,SUCCESS,NONE,165,0,merchant_1
tx_healthy_34,2026-07-14T14:11:25.324651,UPI,HDFC Bank,250.0,INR,SUCCESS,NONE,180,0,merchant_1
tx_healthy_35,2026-07-14T14:11:30.324651,UPI,ICICI Bank,250.0,INR,SUCCESS,NONE,195,0,merchant_1
tx_healthy_36,2026-07-14T14:11:35.324651,UPI,HDFC Bank,250.0,INR,SUCCESS,NONE,210,0,merchant_1
tx_healthy_37,2026-07-14T14:11:40.324651,UPI,ICICI Bank,250.0,INR,SUCCESS,NONE,225,0,merchant_1
tx_healthy_38,2026-07-14T14:11:45.324651,UPI,HDFC Bank,250.0,INR,SUCCESS,NONE,240,0,merchant_1
tx_healthy_39,2026-07-14T14:11:50.324651,UPI,ICICI Bank,250.0,INR,SUCCESS,NONE,255,0,merchant_1
tx_healthy_40,2026-07-14T14:11:55.324651,UPI,HDFC Bank,250.0,INR,FAILED,INSUFFICIENT_FUNDS,120,0,merchant_1
tx_healthy_41,2026-07-14T14:12:00.324651,UPI,ICICI Bank,250.0,INR,SUCCESS,NONE,135,0,merchant_1
tx_healthy_42,2026-07-14T14:12:05.324651,UPI,HDFC Bank,250.0,INR,SUCCESS,NONE,150,0,merchant_1
tx_healthy_43,2026-07-14T14:12:10.324651,UPI,ICICI Bank,250.0,INR,SUCCESS,NONE,165,0,merchant_1
tx_healthy_44,2026-07-14T14:12:15.324651,UPI,HDFC Bank,250.0,INR,SUCCESS,NONE,180,0,merchant_1
tx_healthy_45,2026-07-14T14:12:20.324651,UPI,ICICI Bank,250.0,INR,SUCCESS,NONE,195,0,merchant_1
tx_healthy_46,2026-07-14T14:12:25.324651,UPI,HDFC Bank,250.0,INR,SUCCESS,NONE,210,0,merchant_1
tx_healthy_47,2026-07-14T14:12:30.324651,UPI,ICICI Bank,250.0,INR,SUCCESS,NONE,225,0,merchant_1
tx_healthy_48,2026-07-14T14:12:35.324651,UPI,HDFC Bank,250.0,INR,SUCCESS,NONE,240,0,merchant_1
tx_healthy_49,2026-07-14T14:12:40.324651,UPI,ICICI Bank,250.0,INR,SUCCESS,NONE,255,0,merchant_1
tx_healthy_50,2026-07-14T14:12:45.324651,UPI,HDFC Bank,250.0,INR,SUCCESS,NONE,120,0,merchant_1
tx_healthy_51,2026-07-14T14:12:50.324651,UPI,ICICI Bank,250.0,INR,SUCCESS,NONE,135,0,merchant_1
tx_healthy_52,2026-07-14T14:12:55.324651,UPI,HDFC Bank,250.0,INR,SUCCESS,NONE,150,0,merchant_1
tx_healthy_53,2026-07-14T14:13:00.324651,UPI,ICICI Bank,250.0,INR,SUCCESS,NONE,165,0,merchant_1
tx_healthy_54,2026-07-14T14:13:05.324651,UPI,HDFC Bank,250.0,INR,SUCCESS,NONE,180,0,merchant_1
tx_healthy_55,2026-07-14T14:13:10.324651,UPI,ICICI Bank,250.0,INR,SUCCESS,NONE,195,0,merchant_1
tx_healthy_56,2026-07-14T14:13:15.324651,UPI,HDFC Bank,250.0,INR,SUCCESS,NONE,210,0,merchant_1
tx_healthy_57,2026-07-14T14:13:20.324651,UPI,ICICI Bank,250.0,INR,SUCCESS,NONE,225,0,merchant_1
tx_healthy_58,2026-07-14T14:13:25.324651,UPI,HDFC Bank,250.0,INR,SUCCESS,NONE,240,0,merchant_1
tx_healthy_59,2026-07-14T14:13:30.324651,UPI,ICICI Bank,250.0,INR,SUCCESS,NONE,255,0,merchant_1
tx_degraded_0,2026-07-14T14:13:35.324651,UPI,HDFC Bank,500.0,INR,FAILED,INSUFFICIENT_FUNDS,150,0,merchant_1
tx_degraded_1,2026-07-14T14:13:40.324651,UPI,ICICI Bank,500.0,INR,TIMEOUT,BANK_TIMEOUT,3000,3,merchant_1
tx_degraded_2,2026-07-14T14:13:45.324651,UPI,HDFC Bank,500.0,INR,SUCCESS,NONE,150,0,merchant_1
tx_degraded_3,2026-07-14T14:13:50.324651,UPI,ICICI Bank,500.0,INR,TIMEOUT,BANK_TIMEOUT,3000,3,merchant_1
tx_degraded_4,2026-07-14T14:13:55.324651,UPI,HDFC Bank,500.0,INR,SUCCESS,NONE,150,0,merchant_1
tx_degraded_5,2026-07-14T14:14:00.324651,UPI,ICICI Bank,500.0,INR,SUCCESS,NONE,400,0,merchant_1
tx_degraded_6,2026-07-14T14:14:05.324651,UPI,HDFC Bank,500.0,INR,SUCCESS,NONE,150,0,merchant_1
tx_degraded_7,2026-07-14T14:14:10.324651,UPI,ICICI Bank,500.0,INR,TIMEOUT,BANK_TIMEOUT,3000,3,merchant_1
tx_degraded_8,2026-07-14T14:14:15.324651,UPI,HDFC Bank,500.0,INR,SUCCESS,NONE,150,0,merchant_1
tx_degraded_9,2026-07-14T14:14:20.324651,UPI,ICICI Bank,500.0,INR,TIMEOUT,BANK_TIMEOUT,3000,3,merchant_1
tx_degraded_10,2026-07-14T14:14:25.324651,UPI,HDFC Bank,500.0,INR,SUCCESS,NONE,150,0,merchant_1
tx_degraded_11,2026-07-14T14:14:30.324651,UPI,ICICI Bank,500.0,INR,TIMEOUT,BANK_TIMEOUT,3000,3,merchant_1
tx_degraded_12,2026-07-14T14:14:35.324651,UPI,HDFC Bank,500.0,INR,SUCCESS,NONE,150,0,merchant_1
tx_degraded_13,2026-07-14T14:14:40.324651,UPI,ICICI Bank,500.0,INR,TIMEOUT,BANK_TIMEOUT,3000,3,merchant_1
tx_degraded_14,2026-07-14T14:14:45.324651,UPI,HDFC Bank,500.0,INR,SUCCESS,NONE,150,0,merchant_1
